name,homepage_url,results_url
Global Industrial,https://www.globalindustrial.com,https://careers.globalindustrial.com/search/?createNewAlert=false&q=data&locationsearch=
"Glossier""",https://www.glossier.com,https://life.glossier.com/
GNC,https://www.gnc.com,https://myjobs.adp.com/gnc/cx/job-listing?keyword=data
Godiva Chocolatier,https://www.godiva.com,https://www.linkedin.com/company/godiva-chocolatier/jobs
Golf Galaxy,https://www.golfgalaxy.com,https://www.dickssportinggoods.jobs/jobs/?keyword=data+scientist&filter%5Bjob_type%5D=&searchlocation=&search-btn=
Good Foods Co-op,https://goodfoods.coop,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=022d2029-0489-45f6-9d7f-fa6dcb0efee9&ccId=19000101_000001&type=MP&lang=en_US
"GoPro""",https://gopro.com,https://jobs.gopro.com/en/us?q=data&size=n_5_n
Grocery Outlet,https://www.groceryoutlet.com,https://recruiting.ultipro.com/GRO1006/JobBoard/4c6ab91f-73c0-bb4f-ad81-094171fac4c7/?q=data&o=relevance
Guitar Center,https://www.guitarcenter.com,https://careers.guitarcenter.com/search/jobs?q=data&location=
H Mart,https://www.hmart.com,https://recruiting.ultipro.com/HMA1000HMGBC/JobBoard/9334dd34-f314-4e22-99fd-71bf2f37a2bf/?q=data&o=relevance&w=&wc=&we=&wpst=
H-E-B,https://www.heb.com,https://careers.heb.com/careers-home/jobs?keywords=data
H&M,https://www.hm.com,https://career.hm.com/us-en/search/?f=data&o=relevance
Haggen,https://www.haggen.com,https://eofd.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/pages/1005
Half Price Books,https://www.hpb.com,http://hpb.applicantpool.com/jobs/
Hallmark Gold Crown,https://www.hallmark.com/stores,https://recruiting2.ultipro.com/HAL1009HLLI/JobBoard/1af38e50-bef2-48c7-8919-d646ae0bee65/?q=data&o=relevance
Hannaford,https://www.hannaford.com,https://hannaford.careerswithus.com/search-page?v=hannafordrms
Harbor Freight Tools,https://www.harborfreight.com,https://harbor-freight-tools.careerarc.com/job-search?radius=25&what=data&where=
Harris Teeter,https://www.harristeeter.com,https://myhtcareers.referrals.selectminds.com/jobs/search/29217389
Harveys Supermarket,https://www.harveyssupermarkets.com,https://www.segrocers.com/job-search-results/#!?keyword=data#!%23!
Havertys,https://www.havertys.com,https://jobs.havertys.com/search/?searchby=location&createNewAlert=false&q=data&locationsearch=&geolocation=&optionsFacetsDD_city=&optionsFacetsDD_state=
"Havertys""",https://www.havertys.com,https://jobs.havertys.com/search/?searchby=location&createNewAlert=false&q=data&locationsearch=&geolocation=&optionsFacetsDD_city=&optionsFacetsDD_state=
"HD Supply""",https://hdsupply.com,https://hdsupply.jobs/us/en/search-results?keywords=data
Heinen's Grocery Store,https://www.heinens.com,https://www.heinens.com/job-opportunities/
"Herm_s""",https://www.hermes.com/us/en/,https://talents.hermes.com/en/sites/CX/jobs?keyword=data&lastSelectedFacet=LOCATIONS&mode=job-location&selectedLocationsFacet=300000000385768
